"Story","Title","Result","Date","Stability","Duration (s)"
"Story","Should not be able to login","SUCCESS","2023-11-23T04:34:20.4127035+02:00[Europe/Bucharest]","0.0","16.5"
"Story","User can add product to cart and verify","SUCCESS","2023-11-23T04:34:54.9087972+02:00[Europe/Bucharest]","0.0","10.06"
